file_name,video_id,title,upload_date,year,duration_seconds,duration_human,view_count,like_count,category,format,topics,top_terms,synopsis
20 Podcasts That Changed My Life (and Business) (6x1i0K4Eg1g).md,6x1i0K4Eg1g,20 Podcasts That Changed My Life (and Business),2022-01-31,2022,1028,17:08,655921,23669,Education,interview,"money-finance, business, study-learning, youtube-creator","podcasts, business, money, millionaire, changed, made, financial, i've, years, through, listened, tim","该视频属于interview内容。Other than books, podcasts are the single most important source I've had for learning new ideas over the past 5 years, and it's mostly down to listening to podcasts that I started this YouTube channel and ended up being pretty 'successful'. So in this video I want to share 26 of my favourite podcast recommendations that have, in various ways, helped my life."
21 Life Lessons I've Learned (6Dvkq5yAvcA).md,6Dvkq5yAvcA,21 Life Lessons I've Learned,2022-01-04,2022,1656,27:36,397720,16487,Education,tutorial,"career-life, productivity","lessons, i've, learned, like, money, about, book, i'm, top, productivity, get, lesson",该视频属于tutorial内容。In this video I'll be going over 21 life lessons and tips that stuck with me after 2021.
21 Life Lessons for Teenagers (W3CDMcWlPyM).md,W3CDMcWlPyM,21 Life Lessons for Teenagers,2021-02-10,2021,901,15:01,4063140,267186,Education,tutorial,career-life,"advice, game, you're, students, playing, self, really, think, going, want, younger, year",该视频属于tutorial内容。In this video I'll go over 21 pieces of advice I would give to my 18-year-old self.
22 ONE-MINUTE Habits That Save Me 25+ Hours a Week (_K9ECAYrU2Q).md,_K9ECAYrU2Q,22 ONE-MINUTE Habits That Save Me 25+ Hours a Week,2026-01-27,2026,923,15:23,403879,10741,Education,tutorial,general,"phone, habits, save, not, week, get, like, calendar, thing, one-minute, can, even","该视频属于tutorial内容。This video does not represent financial advice, and I am not a financial advisor. When investing, your capital is at risk and you may get back less than invested. Past performance doesn’t guarantee future results. Free shares can be fractional."
27 Critical Apps That Shaped My Life (-rbbOf5upaU).md,-rbbOf5upaU,27 Critical Apps That Shaped My Life,2022-08-26,2022,1622,27:02,257839,8630,Education,review,tools-tech,"apps, shaped, going, notepad, code, it's, app, critical, through, around, first, websites",该视频属于review内容。In this episode of Tech Club I'll be going through 27 apps that have shaped my life over the past few years. Enjoy 😃
28 Life Lessons from 28 Years in 28 Minutes (AtfoKoiIW-s).md,AtfoKoiIW-s,28 Life Lessons from 28 Years in 28 Minutes,2022-07-26,2022,1658,27:38,356716,15737,Education,tutorial,general,"years, lessons, like, about, default, it's, one, i'm, hey, i've, over, intentional","该视频属于tutorial内容。Hey friends, I've just turned 28 years old so I thought it'd be fun to do a roundup of lessons from over my 28 years. Feel free to share yours in the comments 😜"
3 Bad Habits Holding You Back from Financial Freedom (Rq2lrUhyLF8).md,Rq2lrUhyLF8,3 Bad Habits Holding You Back from Financial Freedom,2024-08-20,2024,868,14:28,248717,8889,Education,tutorial,"money-finance, business, productivity, youtube-creator","money, freedom, make, financial, business, can, bad, habits, holding, online, want, about","该视频属于tutorial内容。By the way, you can watch this video in a few other languages by changing the audio settings xx"
3 Books that Changed my Life (hv1gOEY3cs4).md,hv1gOEY3cs4,3 Books that Changed my Life,2019-02-11,2019,880,14:40,1190243,41004,People & Blogs,talk,"study-learning, career-life","books, changed, like, book, really, can, about, read, work, rich, then, personal","该视频属于talk内容。In this video, I talk through 3 non-fiction books that changed my life. Enjoy xx"
3 Easy Habits that Improved My Health (Mk_5JS5Sb84).md,Mk_5JS5Sb84,3 Easy Habits that Improved My Health,2024-07-23,2024,1007,16:47,298884,9006,Education,tutorial,youtube-creator,"habits, healthy, steps, health, get, about, should, actually, going, easy, improved, become","该视频属于tutorial内容。Hey friends, I've recently turned 30 and I want to take my health more seriously than I ever have done. So in this video I'm deep diving into 3 healthy habits to learn more about how important they are and what I should be doing. I hope you get some value from it too. Enjoy x"
3.5 Years And It’s Finally Ready… (a46eYoUpVBM).md,a46eYoUpVBM,3.5 Years And It’s Finally Ready…,2023-12-26,2023,1134,18:54,352297,11133,Education,talk,youtube-creator,"productivity, book, all, about, productive, good, way, finally, matters, feel, i'm, it's","该视频属于talk内容。Thank you so so much for all your support, however long you've been following the journey for. I feel so grateful to have had the opportunity to write this book for you all and I hope that it helps you, in some small or big way, to do more of what matters to you. Ali xx"
4 Books That Changed My Life (AvKGYyowFK4).md,AvKGYyowFK4,4 Books That Changed My Life,2023-12-20,2023,1434,23:54,513627,14964,Education,talk,"study-learning, youtube-creator","read, books, book, change, idea, changed, can, then, could, decision, effectively, less","该视频属于talk内容。I know it can seem like a lot of books change my life, BUT if you change your behaviour based on an idea you find in a book, that behaviour could literally change your life! Let me know what you think of this idea down in the comments. Enjoy x"
"4 Steps to Making $10,000_Month in Your First Business (FM9AOfcxNTI).md",FM9AOfcxNTI,"4 Steps to Making $10,000/Month in Your First Business",2024-03-08,2024,1413,23:33,349595,10591,Education,tutorial,"business, youtube-creator","business, make, money, month, first, starting, going, online, step, want, steps, start","该视频属于tutorial内容。I recently interviewed serial entrepreneur Daniel Priestley and he told me about his step by step method, The CAOS Framework, which I wanted to share with you guys here. This is one of the best frameworks I've come across for starting a business, so I hope you get some value from this video and are potentially inspired to start something of your own. Enjoy x"
48h Study With Me + Highlighting Tips (Cky0O-hANDI).md,Cky0O-hANDI,48h Study With Me + Highlighting Tips,2020-01-29,2020,645,10:45,302667,9217,Education,talk,study-learning,"study, highlighting, i'm, notes, studying, exams, over, like, way, stuff, lecture, balloons","该视频属于talk内容。In this video, we squeeze out various moments of studying / productivity over 2 days reasonably busy with work, teaching and other commitments. I discuss some of the ways in which I find highlighting to be helpful despite the evidence showing that it’s a poor technique for retaining information, and you see the process by which I learn a somewhat new topic. Enjoy xx"
5 Easy Habits That Could Transform Your Life (EuVKpMRl7ik).md,EuVKpMRl7ik,5 Easy Habits That Could Transform Your Life,2024-11-08,2024,929,15:29,290867,9037,Education,tutorial,"health, productivity, youtube-creator","brain, really, mood, habits, serotonin, all, gut, easy, could, transform, yourself, second","该视频属于tutorial内容。I interviewed neuroscientist TJ Power about the 4 most important brain chemicals: Dopamine, Oxytocin, Serotonin and Endorphins. This video is the third in a 4 part series where we explore each chemical in more depth, and how we can better understand it to improve our lives. Enjoy! xx"
5 Easy Ways to Become More Self-Disciplined (IFSMQJCda10).md,IFSMQJCda10,5 Easy Ways to Become More Self-Disciplined,2024-04-12,2024,1660,27:40,1382736,38760,Education,talk,career-life,"discipline, like, self, disciplined, hill, you're, boulder, think, feel, ways, become, way","该视频属于talk内容。Hey friends, in this video I'm sharing 5 of my favourite ways to become more disciplined, inspired by my recent conversation with Stoicism expert Ryan Holiday. Let me know which of the 5 tips are your favourite down in the comments! Enjoy x"
5 Essential Tips for Long-Lasting Productivity (FbSNfj2S6Pw).md,FbSNfj2S6Pw,5 Essential Tips for Long-Lasting Productivity,2021-05-21,2021,837,13:57,1795700,58081,Education,talk,general,"productivity, about, productive, we're, things, home, really, like, essential, long-lasting, secret, it's",该视频属于talk内容。In this video I'll share some tips that have helped me figure out the true secret of productivity.
5 Financial Mistakes I've Made In The Last 10 Years (06aaT3kZdkE).md,06aaT3kZdkE,5 Financial Mistakes I've Made In The Last 10 Years,2022-02-28,2022,1010,16:50,234376,10922,Education,tutorial,"career-life, money-finance, tools-tech","money, mistakes, financial, avoid, investing, like, started, years, about, age, i've, made","该视频属于tutorial内容。If you want to save more money, pay off your debt faster, and start building a solid financial foundation in your teens, then there are some common mistakes that you really want to make sure you avoid. Here are 5 pieces of advice I would give to my 18-year-old self."
5 Habits for Happier Relationships - The Oxytocin Effect (ZIelHDxW_Xc).md,ZIelHDxW_Xc,5 Habits for Happier Relationships - The Oxytocin Effect,2024-11-05,2024,930,15:30,166608,5199,Education,tutorial,"productivity, youtube-creator","oxytocin, happier, relationships, effect, love, all, feel, going, habits, about, brain, law","该视频属于tutorial内容。I interviewed neuroscientist TJ Power about the 4 most important brain chemicals: Dopamine, Oxytocin, Serotonin and Endorphins. This video is the second in a 4 part series where we explore each chemical in more depth, and how we can better understand it to improve our lives. Enjoy! xx"
5 High Income Skills for Students to Learn in 2026 (FeLNpX1GljM).md,FeLNpX1GljM,5 High Income Skills for Students to Learn in 2026,2024-06-21,2024,1817,30:17,1641297,60217,Education,talk,"money-finance, study-learning, ai","money, make, income, skills, online, high, student, making, learn, students, want, like",该视频属于talk内容。Making extra income as a student changed my university experience and taught me invaluable life skills. So in this video my goal is to help more students make more money by highlighting a few high-income skills they can learn. I hope you find it useful! Enjoy x
5 Lessons I've Learned about Racism (cjPWFTtn5wM).md,cjPWFTtn5wM,5 Lessons I've Learned about Racism,2020-06-05,2020,978,16:18,140212,10500,Education,tutorial,general,"about, not, racism, know, i've, like, i'm, lessons, learned, expert, people, would",该视频属于tutorial内容。We're taking a much-needed break from our regular programming and talking about racism. Here are 5 lessons that I've learned over the years #BlackLivesMatter
5 Life Changing Lessons from My Favorite Book (WV1OVR2hQFw).md,WV1OVR2hQFw,5 Life Changing Lessons from My Favorite Book,2024-09-03,2024,800,13:20,385941,12687,Education,tutorial,"study-learning, youtube-creator","would, things, money, lessons, favorite, book, want, didn't, attention, like, then, changing","该视频属于tutorial内容。Hell Yeah or No is one of my favourite books ever, so I wanted to share 5 of my favourite lessons ever from it. I hope you take something valuable from this video. Enjoy! xx"
5 Mistakes Procrastinators Make (And How To Avoid Them...) (t0VqCDP0rnQ).md,t0VqCDP0rnQ,5 Mistakes Procrastinators Make (And How To Avoid Them...),2022-08-02,2022,452,7:32,235175,9802,Education,tutorial,general,"procrastination, mistakes, procrastinators, make, want, procrastinating, like, avoid, myself, real, fake, i've",该视频属于tutorial内容。Finding it difficult to get out of procrastination station? These are the five mistakes I found myself making a lot with work that might help you too.
5 Productive Things I Do Instead of Mindless Scrolling (zZ45ydPJg_U).md,zZ45ydPJg_U,5 Productive Things I Do Instead of Mindless Scrolling,2024-05-28,2024,1118,18:38,364991,12453,Education,talk,youtube-creator,"productive, things, people, want, say, it's, instead, mindless, scrolling, productivity, okay, five","该视频属于talk内容。Sometimes I have some free time and I don't want to do anything work related, but I do want to do something productive and not scroll on my phone. So here are 5 small suggestions that you might like! Enjoy x"
"5 Simple Steps to Earn $10,000 Writing Online (suOfjK35-8E).md",suOfjK35-8E,"5 Simple Steps to Earn $10,000 Writing Online",2024-12-03,2024,1999,33:19,224505,6506,Education,tutorial,youtube-creator,"youtube, writing, online, business, grow, advice, make, money, about, people, simple, steps","该视频属于tutorial内容。Hey friends, I recently spoke to Nicolas Cole about how to get started writing online, so in this video I wanted to share the best parts of that conversation to help you make your first $10k writing online. I hope you get some value from it! Enjoy xx"
5 Star Hotel Poolside (Cambodia) - Cambridge Medical Elective #03 (c5o1I7S7_Iw).md,c5o1I7S7_Iw,5 Star Hotel Poolside (Cambodia) - Cambridge Medical Elective #03,2017-07-23,2017,285,4:45,20881,399,Travel & Events,talk,medicine,"medical, hotel, cambodia, cambridge, raffles, elective, student, poolside, going, pool, star, medicine","该视频属于talk内容。Where we visit the famous Raffles hotel, hang out by the swimming pools, eat some nice food and munch on Khmer afternoon tea, and even manage to get some work done!"
5 Steps to Start Your First Business (bXLZ8I7s8tw).md,bXLZ8I7s8tw,5 Steps to Start Your First Business,2023-05-10,2023,1021,17:01,1563517,46116,Education,tutorial,"business, money-finance","business, money, make, start, can, steps, first, online, going, starting, fast, home","该视频属于tutorial内容。This is not financial advice. When investing, your capital is at risk. Investments can rise and fall and you may get back less than you invested. Past performance is no guarantee of future results. Government taxes and 0.15% FX fee applies."
5 Things I Wish I'd Done Sooner On YouTube (gOyZTD1UP60).md,gOyZTD1UP60,5 Things I Wish I'd Done Sooner On YouTube,2024-10-29,2024,1890,31:30,320325,11305,Education,talk,youtube-creator,"youtube, grow, things, can, wish, i'd, done, sooner, today, successful, succeed, channels","该视频属于talk内容。If we haven’t met before - Hey 👋 I’m Ali, a doctor-turned-entrepreneur and I’ve somehow become the world’s most followed productivity expert. Through my videos here on this channel, my podcast and my writing, I share evidence-based strategies and tools to help you be more productive and build a life you love."
6 AI Tools I Use Every Day (WoNZUlRu168).md,WoNZUlRu168,6 AI Tools I Use Every Day,2023-03-26,2023,953,15:53,475008,13600,Education,talk,"ai, productivity","tools, productivity, chatgpt, boost, chat, about, now, gpt, save, can, over, few","该视频属于talk内容。ChatGPT and other AI tools have been taking over the internet in the last few months, and I've been integrating them into my workflow to boost my productivity as much as possible. So in this video I go through 6 of my favourite AI tools that I use to boost my productivity."
6 Habits to Make 2026 Your Best Year Yet (W2afI0n8pUk).md,W2afI0n8pUk,6 Habits to Make 2026 Your Best Year Yet,2024-12-12,2024,1320,22:00,1169424,35474,Education,tutorial,"career-life, productivity","year, goals, self, improvement, setting, goal, habits, personal, annual, i've, like, make","该视频属于tutorial内容。Hey friends, I've thought a lot about the most productive and accountable way to do annual planning, and healthy habits that keep my life balanced, so in this video I'm going to go through my process. I hope it helps you do more of what matters to you in 2025. Enjoy! xx"
6 Lessons I've Learned About Online Dating (Ze4ifhPPAQ8).md,Ze4ifhPPAQ8,6 Lessons I've Learned About Online Dating,2023-04-28,2023,908,15:08,304983,7264,Education,tutorial,career-life,"dating, online, about, i've, one, lessons, learned, relationships, way, people, not, it's","该视频属于tutorial内容。Lots of studies have shown that high quality relationships are a large part of our happiness, and in particular, our romantic relationships. Given that one way of finding a relationship is online dating, and that I’ve had my fair share of experiences, I thought I’d create an ultimate guide to online dating. Enjoy x"
6 Side Hustles Students Can Start in 2026 (-ZscZv-IMyI).md,-ZscZv-IMyI,6 Side Hustles Students Can Start in 2026,2023-09-15,2023,1530,25:30,3240593,111478,Education,talk,general,"side, money, make, about, hustle, online, hustles, making, can, ideas, want, students","该视频属于talk内容。Hey friends, so side hustles literally changed my life, and in this video I explain how they can change yours and share 6 specific ideas that could work for you as well. Enjoy x"
6 Steps to Unlock Your Full Potential (MFXWY8TqSWw).md,MFXWY8TqSWw,6 Steps to Unlock Your Full Potential,2024-01-09,2024,1579,26:19,307660,11633,Education,tutorial,"career-life, youtube-creator","change, book, potential, success, full, achieve, about, unlock, greatness, really, like, steps","该视频属于tutorial内容。In this video I'm sharing 6 of my favourite lessons from Lewis Howes amazing book The Greatness Mindset that I hope if you actually apply to your life, will bring some positive change. Enjoy x"
6 tips for Medicine MMIs - Multiple Mini Interviews (mwGFRi4kLRQ).md,mwGFRi4kLRQ,6 tips for Medicine MMIs - Multiple Mini Interviews,2017-10-24,2017,263,4:23,106904,2033,Howto & Style,interview,"medicine, study-learning, youtube-creator","medicine, interviews, interview, multiple, mini, mmi, mmis, medical, like, preparation, get, thing","该视频属于interview内容。In this video, we go over 6 tips for the MMIs, the Multiple Mini Interviews that most medical schools in the UK use for medicine applicants."
7 Daily Habits that Improved My Relationship (Ny3u3Z85KdQ).md,Ny3u3Z85KdQ,7 Daily Habits that Improved My Relationship,2023-07-14,2023,990,16:30,384632,13051,Education,tutorial,"career-life, medicine, youtube-creator","relationship, habits, love, connection, book, relationships, bid, hey, about, improved, find, partner","该视频属于tutorial内容。Hey friends, I recently interviewed relationship experts Dr John and Julie Gottman and their advice was just so good. In this video, I share 7 habits from their book the 7 Day Love Prescription along with some soundbites from the interview. Enjoy x"
7 Habits that Save Me 3+ Hours a Day (hXP5fUfBGQQ).md,hXP5fUfBGQQ,7 Habits that Save Me 3+ Hours a Day,2023-03-10,2023,687,11:27,1882798,47488,Education,tutorial,productivity,"save, habits, can, habit, think, saves, things, i've, around, capture, then, not","该视频属于tutorial内容。Hey friends, over the years I've experimented with a lot of different time management and productivity habits and techniques, and only a few have stuck. So in this video I go through my 7 favourite habits that save me around 3 hours every day. Enjoy x"
7 Life Lessons I Know at 30 But Wish I Knew at 20 (B4U7vNtXBTI).md,B4U7vNtXBTI,7 Life Lessons I Know at 30 But Wish I Knew at 20,2024-05-24,2024,2052,34:12,328422,11113,Education,tutorial,youtube-creator,"lessons, it'll, years, really, like, last, few, i've, while, know, wish, knew","该视频属于tutorial内容。I turned 30! To celebrate, I wanted to share 7 life lessons from my last 7 years on YouTube. I hope you find it useful! Enjoy x"
7 Life Lessons I Wish I Knew Sooner (sj23hsw5oqE).md,sj23hsw5oqE,7 Life Lessons I Wish I Knew Sooner,2024-02-27,2024,1733,28:53,329486,9232,Education,tutorial,youtube-creator,"like, wish, lessons, i'm, feeling, sooner, journalling, journaling, start, all, i'd, know","该视频属于tutorial内容。In this video, I wanted to share 7 lessons that have been on my mind recently, that I wish I'd learned sooner. Enjoy x"
7 Life Lessons School Didn’t Teach You (CUPe_TZECQQ).md,CUPe_TZECQQ,7 Life Lessons School Didn’t Teach You,2023-05-19,2023,925,15:25,324436,14813,Education,tutorial,general,"lessons, school, things, thing, taught, lot, should, many, one, didn, teach, people","该视频属于tutorial内容。Hey friends, over the past 2 years I've spoken to a bunch of people on my podcast who have all had really interesting lives, and they've all got lessons to share that we should have been taught in school. So in this video I share my favourite 7 lessons from my podcast Deep Dive. Enjoy x"
7 Mistakes Students Make Every Year (fsL6q-yij8I).md,fsL6q-yij8I,7 Mistakes Students Make Every Year,2023-11-24,2023,932,15:32,434602,17897,Education,tutorial,"productivity, study-learning, career-life, youtube-creator","students, management, mistakes, things, focus, student, learn, year, school, make, manage, years","该视频属于tutorial内容。I spent 6 years as a student, and if I could go back I would do a few things differently. Sadly, I still see students these days making lots of those same mistakes, so in this video I share 7 things for students to try and avoid! Enjoy x"
7 Mistakes to Avoid While Building Your First Business (J4RBNp6wFWA).md,J4RBNp6wFWA,7 Mistakes to Avoid While Building Your First Business,2024-03-01,2024,1101,18:21,267218,8561,Education,tutorial,"business, youtube-creator","business, make, money, mistakes, goal, online, starting, i've, want, wanted, like, didn't",该视频属于tutorial内容。I've made many a mistake over the years growing my business. Here are 7 that I've learned recently and am thinking about a lot at the moment. I hope you learn something useful from it. Enjoy x
7 Science-Backed Ways to Reduce Stress (_KuUXz5gjgw).md,_KuUXz5gjgw,7 Science-Backed Ways to Reduce Stress,2023-10-27,2023,944,15:44,278883,9125,Education,talk,"health, youtube-creator","stress, anxiety, i'm, writing, you're, not, overcome, thoughts, thought, can, science-backed, ways","该视频属于talk内容。I've been struggling with stress and anxiety at times recently, so I spoke to psychologist Dr Julie Smith on my podcast Deep Dive. In this video I share 7 of my favourite tips from that conversation. Enjoy x"
7 Side Hustles Ideas to Make $1000_Month (I-dlPuqFguo).md,I-dlPuqFguo,7 Side Hustles Ideas to Make $1000/Month,2023-01-26,2023,1751,29:11,1611645,51092,Education,talk,"business, money-finance","side, make, hustle, money, online, month, ideas, hustles, extra, about, job, going","该视频属于talk内容。In this video, we're talking about 7 side hustle ideas you can start in 2023. All of these alternative income streams could generate an extra $1,000 per month! Enjoy! :)"
7 Side Hustles You Can Start This Year (4V2ZwgJw62I).md,4V2ZwgJw62I,7 Side Hustles You Can Start This Year,2022-02-16,2022,1353,22:33,1503894,56301,Education,talk,money-finance,"make, income, passive, can, money, side, start, hustles, year, online, ideas, edit","该视频属于talk内容。In this video, we're going over the 7 best side hustles I'd recommend you start right now to build an alternative income stream away from your 9-5 that could make you an additional $1,000 every month! Enjoy! :)"
